IZLIJEPLJEN, PRIDJEV
AUTOCISTERNA, IMENICA
OBRAZNO-NOSNI, PRIDJEV
PROSLIJEDITI, GLAGOL
ENERGETIČAR, IMENICA
MULTIKULTURNI, PRIDJEV
DOPLAĆUJUĆI, PRILOG
ISKUŠAVANJE, IMENICA
PRIRUČNIČKI, IMENICA
SEDIMENTATION, IMENICA
OPORTUNIZAM, IMENICA
GAMA-ZRAČENJE, IMENICA
NAJGOSTOPRIMLJIVIJI, PRIDJEV
NAJKOKETNIJI, PRIDJEV
NESMILJENOST, IMENICA
UOBLIČAVATI, GLAGOL
BANANA-UTIKAČ, IMENICA
ZAKRIJEŠTATI, GLAGOL
DOVITLJIVOST, IMENICA
SITNOZRNATI, PRIDJEV
POBJEDNIČKI, PRIDJEV
SAMOFINANCIRAJUĆI, PRIDJEV
DEFEKTOLOGIJI, PRIDJEV
UZROKOVAVŠI, PRILOG
BEUTELROCKOV, PRIDJEV
RITMIZACIJA, IMENICA
NEODREĐIVANJE, IMENICA
NASUKAVANJE, IMENICA
TRIVIJALIZACIJA, IMENICA
STANDARDIZIRAN, PRIDJEV
RESTRUKTURIRAN, PRIDJEV
DNK, KRATICA
ZNANSTVENO-STRUČNI, PRIDJEV
PODNAPITATI, GLAGOL
KONTRAKTILNI, PRIDJEV
C-GLIKOZIDNI, PRIDJEV
PIKOSEKUNDNI, PRIDJEV
AUDIOOBILAZAK, IMENICA
MEĐUKURDSKI, PRIDJEV
ENHONDRALAN, PRIDJEV
DAČA, IMENICA
USKRAĆENOST, IMENICA
FEROVANADIJ, IMENICA
DAMA, IMENICA
POTČINJENJE, IMENICA
RAŠČLANJENIJI, PRIDJEV
PROLETARIJAT, IMENICA
DJETINJAREĆI, PRILOG
TERMONEUTRON, IMENICA
NESVIJETLEĆI, PRIDJEV
NEUSTAVNOST, IMENICA
ANTIINTELEKTUALIZAM, IMENICA
DEVASTACIJA, IMENICA
GLOTODIDAKTIČAR, IMENICA
MUK, IMENICA
ALFA-MONOGLICERIL, IMENICA
OVJEKOVJEČITI, GLAGOL
HIPOTERMIJA, IMENICA
NEISKRISTALIZIRAN, PRIDJEV
PEDESETJEDNOGODIŠNJI, PRIDJEV
BIOASTRONAUTIKA, IMENICA
KONSTANTINOV, PRIDJEV
DOTISKUJUĆI, PRIDJEV
PREPOZNAVŠI, PRILOG
DOSJETLJIVIJI, PRIDJEV
NAJARHAIČNIJI, PRIDJEV
REPOLARIZACIJA, IMENICA
HEMATOTOKSIČAN, PRIDJEV
NESTVRDNUTI, GLAGOL
UČEN, PRIDJEV
DOPREDSJEDNIK, IMENICA
NAJISKUSNIJI, PRIDJEV
PRESTIGNUTO, PRILOG
FRED, IMENICA
KEJ, IMENICA
NORADRENALIN, IMENICA
SELENOMETIONIN, IMENICA
INKUBACIJSKI, PRIDJEV
