GLAVATIJI, PRIDJEV
NADOZIDAN, PRIDJEV
ŽUPANSTVO, IMENICA
IŠČEKIVAČ, IMENICA
LAMINATNI, PRIDJEV
DEFINITNI, PRIDJEV
NEDALEKOM, PRIDJEV
OTKAPČATI, GLAGOL
ODIEVANJE, IMENICA
UMANJIVAN, PRIDJEV
PRIBLIŽNO, PRILOG
RAZDUŽITI, GLAGOL
PALAGRUŽA, IMENICA
ANTIPODNI, PRIDJEV
ZAGRCNUTI, GLAGOL
KLORIRATI, GLAGOL
UNATRAŽNI, PRIDJEV
OSMOLARAN, PRIDJEV
DEŠPALJEV, PRIDJEV
NAJŽIVLJI, PRIDJEV
OZAKONJEN, PRIDJEV
DINAMIČKI, PRIDJEV
TALIANSKI, PRIDJEV
SVAKDANJI, PRIDJEV
PETNAESTI, PRIDJEV
SKAKUĆUĆI, PRILOG
OGREBAVŠI, PRILOG
SURFAJUĆI, PRIDJEV
POHAĐANJE, IMENICA
ČALINEČKI, PRIDJEV
LASTAVICA, IMENICA
LUMINOZAN, PRIDJEV
JULIANSKI, PRIDJEV
DOKAZAVŠI, PRILOG
ISTISKATI, GLAGOL
RAZMICALO, IMENICA
PROTJERAN, PRIDJEV
PROGRIZEJ, IMENICA
TORIJEVAC, IMENICA
GOSTUJUĆI, PRIDJEV
IZDRLJATI, GLAGOL
BAŠTINITI, GLAGOL
ODJEKNUTI, GLAGOL
RASPLAŠEN, PRIDJEV
SREBRIĆEV, PRIDJEV
PROTEPSTI, GLAGOL
KOSINUSOV, PRIDJEV
POLUVODIČ, IMENICA
PROKUNUTI, GLAGOL
BARUNIČIN, PRIDJEV
CEMENTARA, IMENICA
POLUPROST, PRIDJEV
BABUSKARA, IMENICA
SMRKAVATI, GLAGOL
POVEĆANJE, IMENICA
SMRZOTINE, IMENICA
GABARITAN, PRIDJEV
MARULIĆEV, PRIDJEV
DOCENTSKI, PRIDJEV
BREZOVAČA, IMENICA
DELEGIRAN, PRIDJEV
DVOZNAČAN, PRIDJEV
PRIBRAVŠI, PRILOG
SENZORIKA, IMENICA
KRVOŽILNO, PRILOG
NELINARNI, PRIDJEV
FLOTANTAN, PRIDJEV
TOBOLČAST, PRIDJEV
CETINJSKI, PRIDJEV
LOPTAJUĆI, GLAGOL
MATIJEVIĆ, IMENICA
GIGABITAN, PRIDJEV
PEKARNICA, IMENICA
PORTORIKO, IMENICA
PALEOGRAF, IMENICA
NESANIRAN, PRIDJEV
NAVRATITI, GLAGOL
ZAJUTRAKA, IMENICA
ENTENMANN, IMENICA
ŠAJKOVSKI, PRIDJEV
ŽALOVANJE, IMENICA
OMLADINAK, IMENICA
SLUŽNIČKI, PRIDJEV
LUKOBRANA, IMENICA
ANALITIKA, IMENICA
AUTOCESTA, IMENICA
BODOVANJE, IMENICA
ŽIVOVANJE, IMENICA
SNIMATELJ, IMENICA
NADŽIVIJI, PRIDJEV
ŠKOLNIČKI, PRIDJEV
BESJEĐATI, GLAGOL
VODENIČAR, IMENICA
BRIJUNSKI, PRIDJEV
ZAŠTITITI, GLAGOL
CIMBIDIJA, IMENICA
PROTUKLIN, IMENICA
BUĆKAJUĆI, PRIDJEV
IŠĆUŠKATI, GLAGOL
SUPERSITI, GLAGOL
NAGRABITI, GLAGOL
POSREBREN, PRIDJEV
ZAMOMČITI, GLAGOL
LAGOŠANIN, IMENICA
HUMERUSOV, PRIDJEV
IZBRUSITI, GLAGOL
KRUNISATI, GLAGOL
ESKULAPOV, PRIDJEV
SKEPTIČAN, PRIDJEV
TAPŠAJUĆI, PRILOG
DIJABETES, IMENICA
ANEROIDAN, PRIDJEV
POZNANSKI, PRIDJEV
POVEĆAVAN, PRIDJEV
PROPISNIK, IMENICA
ROVARENJE, IMENICA
NEVLADINI, PRIDJEV
ZADIVIVŠI, PRILOG
ZAPINJUĆI, PRIDJEV
PRELETIJI, PRIDJEV
LJESKANJI, PRIDJEV
SUGLASNIK, IMENICA
OPOREZIVI, PRIDJEV
DRENOVSKI, PRIDJEV
LIBERALNO, PRILOG
ZAMULJITI, IMENICA
DRIJEMATI, GLAGOL
SADRŽAJNO, PRILOG
PREBENDAR, IMENICA
OŠTEĆENJE, IMENICA
NESTAJATI, GLAGOL
ARLAUKATI, GLAGOL
KILOMETAR, IMENICA
KANDIRATI, IMENICA
MILJKOVIĆ, IMENICA
LIPICANER, IMENICA
PRESELITI, GLAGOL
AUSTRALKA, IMENICA
DRKADŽIJA, IMENICA
IMITIRATI, GLAGOL
NAPUNJALO, IMENICA
PLANDOVAN, PRIDJEV
NEVJEGATI, GLAGOL
MAĐARSTVO, IMENICA
RAZVUČENO, PRILOG
PRESKAKAN, PRIDJEV
FENOLOŠKI, PRIDJEV
ŠAHISTICA, IMENICA
KUGLIČAST, PRIDJEV
REŠETASTI, PRIDJEV
NADURIVŠI, IMENICA
POČIŠĆATI, GLAGOL
BANALNIJI, PRIDJEV
UTVRĐIVAČ, IMENICA
POZAJMITI, GLAGOL
NENARAVNO, PRILOG
ALOCIRATI, GLAGOL
VELEČASNI, PRIDJEV
ZAPLITANE, PRIDJEV
DOGURAVŠI, PRILOG
ODVAŽIVŠI, PRILOG
RASPRSNUT, PRIDJEV
TIPIČNIJI, PRIDJEV
PODRAVSKI, PRIDJEV
ODLIKOVAN, PRIDJEV
ODSJEDATI, GLAGOL
BISERNICA, IMENICA
RETORIČAR, IMENICA
PROPISATI, GLAGOL
LIMLJANKA, IMENICA
DRUŠTVENI, PRIDJEV
ISKRSAVAN, PRIDJEV
BEDUINSKI, PRIDJEV
NAOBRAŽEN, PRIDJEV
DOVRŠETAK, IMENICA
POTRATITI, GLAGOL
NAPRASITO, PRILOG
USKLADITI, GLAGOL
ČESTITOST, IMENICA
ODUSTANJE, IMENICA
IZLUČENJE, IMENICA
SKLONIVŠI, PRILOG
DOJAHAVŠI, PRILOG
LIRIČNOST, IMENICA
DIKTIRATI, GLAGOL
PRILAZITI, GLAGOL
POLETJETI, GLAGOL
NABREKNUT, PRIDJEV
NEPOMUĆEN, PRIDJEV
HRAPAVICA, IMENICA
POGURNUTI, GLAGOL
RAZVODITI, GLAGOL
HANUMANOV, IMENICA
HOSTESITI, GLAGOL
GNJEVLJIV, PRIDJEV
PRIPADNIK, IMENICA
BIENALSKI, PRIDJEV
BJELANJAK, IMENICA
OKRUŽENJE, IMENICA
RAZMETALI, PRIDJEV
KUMULATIV, IMENICA
NAJRANIJI, PRIDJEV
JARMENJAK, IMENICA
KOREANSKI, PRIDJEV
KRIJESITI, GLAGOL
NAMUČIVŠI, PRILOG
SIBIRCATI, GLAGOL
PROREKTOR, IMENICA
IZNENADNO, PRILOG
